MessageType,TransmissionType,SessionID,AircraftID,HexIdent,FlightID,DateGenerated,TimeGenerated,DateLogged,TimeLogged,Callsign,Altitude,GroundSpeed,Track,Latitude,Longitude,VerticalRate,Squawk,Alert,Emergency,SPI,IsOnGround
MSG,3,,,3DD37F,,2025/11/19,13:14:05.211,2025/11/19,13:14:05.211,FLR3DD37F,2171,54.0,181.0,64.16788,-17.34380,,,0,0,0,0
MSG,3,,,478097,,202,,,,,,,,,,,,,,,
MSG,3,,,4B079E,,2025/11/19,13:14:05.214,2025/11/19,13:14:05.214,ICA4B079E,5040,127.0,20.0,47.28158,7.68587,,,0,0,0,0
MSG,3,,,3007F2,,2025/11/19,13:14:05.215,2025/11/19,13:14:05.215,ICA3007F2,9033,252.0,200.0,49.78890,8.48680,,,0,0,0,0
MSG,3,,,4D00CA,,2025/11/19,13:14:05.219,2025/11/19,13:14:05.219,LX-LGG,16530,307.0,119.0,50.16463,5.36142,,,0,0,0,0
MSG,3,,,359647,,2025/11/19,13:14:05.224,2025/11/19,13:14:05.224,ICA359647,17824,295.0,313.0,37.17327,-5.21197,,,0,0,0,0
MSG,3,,,112BF4,,2025/11/19,13:14:05.226,2025/11/19,13:14:05.226,FLR112BF4,2668,13.0,302.0,50.66800,16.23595,,,0,0,0,0
MSG,3,,,3C65D9,,2025/11/19,13:14:05.227,2025/11/19,13:14:05.227,ICA3C65D9,33559,499.0,32.0,51.99263,10.15793,,,0,0,0,0
MSG,3,,,47A249,,2025/11/19,13:14:05.229,2025/11/19,13:14:05.229,ICA47A249,6049,120.0,357.0,59.11980,10.61498,,,0,0,0,0
MSG,3,,,48AF02,,2025/11/19,13:14:05.231,2025/11/19,13:14:05.231,ICA48AF02,13109,283.0,252.0,40.67,,,,,,,
MSG,3,,,4D2287,,2025/11/19,13:14:05.232,2025/11/19,13:14:05.232,ICA4D2287,17542,392.0,129.0,40.60998,-3.14167,,,0,0,0,0
MSG,3,,,4C0245,,2025/11/19,13:14:05.234,2025/11/19,13:14:05.234,ICA4C0245,17909,282.0,343.0,46.47458,19.98685,,,0,0,0,0
MSG,3,,,34818B,,2025/11/19,13:14:05.235,2025/11/19,13:14:05.235,ICA34818B,1546,122.0,129.0,36.52315,-5.82480,,,0,0,0,0
MSG,3,,,406105,,2025/11/19,13:14:05.237,20,,,,,,,,,,,,,
MSG,3,,,3007F2,,2025/11/19,13:14:05.238,2025/11/19,13:14:05.238,ICA3007F2,9034,252.0,200.0,49.78887,8.48678,,,0,0,0,0
MSG,3,,,4951CB,,2025/11/19,13:14:05.239,2025/11/19,13:14:05.239,CS-TNK,5294,187.0,302.0,27.73147,-15.42437,,,0,0,0,0
MSG,3,,,359647,,2025/11/19,13:14:05.240,2025/11/19,13:14:05.240,ICA359647,17823,295.0,313.0,37.17328,-5.21198,,,0,0,0,0
MSG,3,,,06E02A,,2025/11/19,13:14:05.241,2025/11/19,13:14:05.241,ICA06E02A,5498,96.0,109.0,-1.97262,30.15890,,,0,0,0,0
MSG,3,,,47A249,,2025/11/19,13:14:05.243,2025/11/19,13:14:05.243,ICA47A249,6046,120.0,357.0,59.11982,10.61498,,,0,0,0,0
MSG,3,,,34520D,,2025/11/19,13:14:05.246,2025/11/19,13:14:05.246,ICA34520D,17473,420.0,130.0,40.54047,-3.03547,,,0,0,0,0
MSG,3,,,407962,,2025/11/19,13:14:05.247,2025/11/19,13:14:05.247,FLR407962,1824,50.0,2.0,51.86670,-1.31592,,,0,0,0,0
MSG,3,,,359647,,2025/11/19,13:14:05.248,2025/11/19,13:14:05.248,ICA359647,17770,295.0,313.0,37.17328,-5.21198,,,0,0,0,0
MSG,,,,,,,,,,,,,,,,,,,,,
MSG,3,,,114515,,2025/11/19,13:14:05.253,2025/11/19,13:14:05.253,FLR114515,6960,12.0,153.0,42.50942,1.98723,,,0,0,0,0
MSG,3,,,4B1E44,,2025/11/19,13:14:05.256,2025/11/19,13:14:05.256,ICA4B1E44,8771,125.0,207.0,46.91357,7.26475,,,0,0,0,0
MSG,3,,,4B3301,,2025/11/19,13:14:05.257,2025/11/19,13:14:05.257,HB-TIF,6001,9,,,,,,,,,
MSG,3,,,4B4211,,2025/11/19,13:14:05.257,2025/11/19,13:14:05.257,HB-ZAN,2805,121.0,187.0,46.92370,7.16875,,,0,0,0,0
